# QUICKBOOKS PREMIUM FINANCIAL EXPORT
# Export Date: 2026-05-20
# Scope: 5-Year Historical Startup PnL Ledger

Transaction_ID,Date,Category,Sub_Category,Amount,Entity,Status,Payment_Method,Notes,System_Flag
TXN-100040,2021-02-10,Opex,Marketing Campaigns,-326.58,AWS Cloud Services,PENDING,PayPal,Annual team offsite travel reimbursement,ERR_$$__CRITICAL!
TXN-100041,2021-02-11,Payroll,Bonuses & Incentives,-6120.99,Internal Payroll Processing,PENDING,Check,New employee onboarding equipment,VALID
TXN-100042,2021-02-12,Opex,Office Supplies,"$-5,259.21",Slack Technologies,Failed,PayPal,Contract negotiation retainer fee,VALID
TXN-100043,2021-02-13,Opex,Marketing Campaigns,"$-2,258.37",OpenAI API,settled,Check,Bi-weekly company payroll run,VALID
TXN-100044,2021-02-14,Revenue,Ad-hoc Consulting,14125.47,Vehement Capital Inc.,Processing,Credit Card,Bi-weekly company payroll run,VALID
TXN-100045,02/15/2021,Legal,IP Filing Fees,-2249.89,Kramer Legal Group,Processing,PayPal,Monthly recurring revenue billing,VALID
TXN-100046,2021-02-16,Revenue ,SaaS Subscriptions,"$12,847.18",Wayne Enterprises Inc.,settled,Check,Contract negotiation retainer fee,VALID
TXN-100047,02/17/2021,Legal,Regulatory Compliance,"$-4,366.69",Kramer Legal Group,settled,,Q1 infrastructure compute charge,VALID
txn_100048,2021-02-18,Revenue ,Professional Services,563.28,Umbrella Corp Inc.,PENDING,Wire Transfer,Annual team offsite travel reimbursement,VALID
TXN-100049,2021-02-19,Opex,Travel & Entertainment,-347.2,AWS Cloud Services,Reversed,,Patent filing expense itemized,VALID
TXN-100050,2021-02-20,Legal,Retainer Fees,-1610.58,Preston & Gates LLP,settled,,Patent filing expense itemized,VALID
TXN-100051,2021-02-21,Revenue,SaaS Subscriptions,"$2,560.65",Vehement Capital Inc.,Settled,Check,Annual team offsite travel reimbursement,VALID
TXN-100052,NULL,Legal,Contract Drafting,"$-1,337.95",IP Protection Bureau,Processing,,Annual team offsite travel reimbursement,VALID
TXN-100053,23/02/2021,Payroll ,Contractor Fees,"$-14,321.10",Internal Payroll Processing,Failed,ACH Transfer,Quarterly marketing spend optimization,VALID
TXN-100054,2021-02-24,Payroll,Contractor Fees,"$-10,385.58",Internal Payroll Processing,Reversed,ACH Transfer,Patent filing expense itemized,VALID
TXN-100055,2021-02-25,Opex,Cloud Infrastructure,$-681.84,Ironclad Legal,Settled,Wire Transfer,Monthly recurring revenue billing,VALID
TXN-100056,2021-02-26,Opex,Office Supplies,$-514.70,Zoom Video,Failed,Wire Transfer,Annual team offsite travel reimbursement,VALID
TXN-100057,NULL,Revenue,Professional Services,"$4,012.04",Hooli Inc.,Settled,Credit Card,Patent filing expense itemized,VALID
TXN-100058,2021-02-28,Payroll,Contractor Fees,"$-12,972.25",Internal Payroll Processing,PENDING,Credit Card,Patent filing expense itemized,VALID
txn_100059,2021-03-01,Legal,IP Filing Fees,"$-1,230.18",Preston & Gates LLP,settled,Check,Patent filing expense itemized,VALID
TXN-100060,03/02/2021,Revenue,Ad-hoc Consulting,487.38,Acme Corp Inc.,Settled,PayPal,Bi-weekly company payroll run,VALID
TXN-100061,2021-03-03,Opex,Travel & Entertainment,-6521.22,Zoom Video,settled,Credit Card,Q1 infrastructure compute charge,VALID
TXN-100062,2021-03-04,Payroll,Full-Time Salaries,"$-9,969.23",Internal Payroll Processing,Failed,ACH Transfer,Annual team offsite travel reimbursement,VALID
TXN-100063,2021-03-05, Payroll,Bonuses & Incentives,"$-13,835.03",Internal Payroll Processing,Processing,ACH Transfer,Bi-weekly company payroll run,VALID
TXN-100064,2021-03-06,Opex ,Office Supplies,$-28.31,Zoom Video,Settled,Check,Annual team offsite travel reimbursement,VALID
TXN-100065,2021-03-07,Legal,Regulatory Compliance,"$-3,236.10",Kramer Legal Group,Settled,ACH Transfer,Patent filing expense itemized,VALID
TXN-100066,2021-03-08,Revenue,Enterprise License,"$6,628.31",Acme Corp Inc.,PENDING,Check,Quarterly marketing spend optimization,VALID
TXN-100067,2021-03-09,Legal,Regulatory Compliance,"$-4,392.92",Kramer Legal Group,PENDING,Check,Patent filing expense itemized,VALID
TXN-100068,2021-03-10, Revenue,Ad-hoc Consulting,7476.07,Vehement Capital Inc.,PENDING,PayPal,Monthly recurring revenue billing,VALID
TXN-100069,2021-03-11,Revenue,Professional Services,$484.65,Acme Corp Inc.,Processing,,Patent filing expense itemized,VALID
TXN-100070,2021-03-12,Revenue,Professional Services,"$2,319.46",Vehement Capital Inc.,Settled,,Annual team offsite travel reimbursement,VALID
TXN-100071,13/03/2021,Legal,Regulatory Compliance,-400.15,Preston & Gates LLP,Processing,Credit Card,New employee onboarding equipment,VALID
TXN-100072,2021-03-14,Opex,Cloud Infrastructure,-118.5,Deel Payroll,settled,PayPal,Patent filing expense itemized,VALID
TXN-100073,2021-03-15,Legal,Contract Drafting,-5429.74,Kramer Legal Group,settled,Credit Card,Contract negotiation retainer fee,ERR_$$__CRITICAL!
TXN-100074,2021-03-16,Opex,Travel & Entertainment,$-578.73,Deel Payroll,Processing,ACH Transfer,New employee onboarding equipment,VALID
TXN-100075,2021-03-17,Payroll,Full-Time Salaries,"$-15,539.15",Internal Payroll Processing,settled,,Quarterly marketing spend optimization,VALID
TXN-100076,2021-03-18,Revenue,Ad-hoc Consulting,"$5,174.45",Acme Corp Inc.,Failed,,Quarterly marketing spend optimization,VALID
TXN-100077,03/19/2021,Legal,IP Filing Fees,$-736.41,Preston & Gates LLP,Settled,,Quarterly marketing spend optimization,VALID
TXN-100078,2021-03-20,Revenue,Ad-hoc Consulting,"$11,011.26",Acme Corp Inc.,Cleared,PayPal,New employee onboarding equipment,VALID
TXN-100079,2021-03-21,Opex,Marketing Campaigns,-978.6,Zoom Video,PENDING,Wire Transfer,Annual team offsite travel reimbursement,VALID
TXN-100080,2021-03-22,Revenue,Ad-hoc Consulting,$736.86,Umbrella Corp Inc.,PENDING,Wire Transfer,Quarterly marketing spend optimization,VALID
TXN-100081,2021-03-23,Payroll,Contractor Fees,"$-14,918.89",Internal Payroll Processing,PENDING,Wire Transfer,Patent filing expense itemized,VALID
TXN-100082,24/03/2021, Legal,Regulatory Compliance,-4006.19,Preston & Gates LLP,settled,Wire Transfer,Annual team offsite travel reimbursement,VALID
TXN-100083,2021-03-25,Opex,Travel & Entertainment,"$-1,255.83",Deel Payroll,PENDING,ACH Transfer,New employee onboarding equipment,VALID
TXN-100084,2021-03-26,Revenue ,Enterprise License,7469.45,Acme Corp Inc.,Cleared,Credit Card,New employee onboarding equipment,VALID
TXN-100085,27/03/2021,Payroll,Health Insurance Premiums,"$-22,116.89",Internal Payroll Processing,settled,ACH Transfer,Contract negotiation retainer fee,VALID
TXN-100086,03/28/2021,Revenue,Professional Services,"$2,889.07",Vehement Capital Inc.,Settled,Check,Contract negotiation retainer fee,VALID
TXN-100087,2021-03-29,Revenue,Ad-hoc Consulting,228.74,Acme Corp Inc.,Processing,ACH Transfer,Bi-weekly company payroll run,VALID
TXN-100088,2021-03-30,Payroll,Contractor Fees,-9238.83,Internal Payroll Processing,Cleared,ACH Transfer,Q1 infrastructure compute charge,VALID
TXN-100089,2021-03-31, Payroll,Bonuses & Incentives,-7743.75,Internal Payroll Processing,PENDING,,Contract negotiation retainer fee,VALID
TXN-100090,01/04/2021,Legal,Contract Drafting,-5128.11,Kramer Legal Group,Cleared,Check,Contract negotiation retainer fee,VALID
TXN-100091,04/02/2021, Opex,Office Supplies,-1085.66,Slack Technologies,Cleared,ACH Transfer,Patent filing expense itemized,VALID
TXN-100092,2021-04-03,Legal,IP Filing Fees,"$-1,451.46",Kramer Legal Group,settled,PayPal,New employee onboarding equipment,VALID
TXN-100093,2021-04-04,Opex,Travel & Entertainment,$-812.42,AWS Cloud Services,Cleared,PayPal,New employee onboarding equipment,VALID
TXN-100094,2021-04-05,Opex ,Cloud Infrastructure,-2133.12,Slack Technologies,Settled,Credit Card,Patent filing expense itemized,VALID
TXN-100095,2021-04-06,Revenue,SaaS Subscriptions,1399.03,Umbrella Corp Inc.,Processing,,Patent filing expense itemized,VALID
TXN-100096,2021-04-07,Revenue,Ad-hoc Consulting,$500.52,Stark Industries Inc.,Settled,Credit Card,New employee onboarding equipment,VALID
TXN-100097,2021-04-08,Payroll,Bonuses & Incentives,-13071.34,Internal Payroll Processing,settled,,Q1 infrastructure compute charge,VALID
TXN-100098,2021-04-09,Opex,Software Licenses,$-533.21,AWS Cloud Services,PENDING,Wire Transfer,Contract negotiation retainer fee,VALID
TXN-100099,10/04/2021, Opex,Software Licenses,$-283.71,Ironclad Legal,Reversed,ACH Transfer,New employee onboarding equipment,VALID
TXN-100100,11/04/2021,Payroll,Full-Time Salaries,"$-14,746.21",Internal Payroll Processing,Failed,PayPal,Monthly recurring revenue billing,VALID
TXN-100101,12/04/2021,Revenue,Professional Services,8239.84,Stark Industries Inc.,settled,Check,Bi-weekly company payroll run,VALID
TXN-100102,2021-04-13, Revenue,Enterprise License,1132.48,Acme Corp Inc.,Reversed,,New employee onboarding equipment,VALID
TXN-100103,2021-04-14, Opex,Cloud Infrastructure,"$-3,366.22",Google Suite,settled,PayPal,Contract negotiation retainer fee,VALID
TXN-100104,04/15/2021,Revenue,Professional Services,3975.5,Initech Inc.,Failed,Credit Card,Quarterly marketing spend optimization,VALID
TXN-100105,04/16/2021,Revenue,Enterprise License,8336.74,Stark Industries Inc.,Settled,Credit Card,Monthly recurring revenue billing,VALID
TXN-100106,2021-04-17,Opex,Marketing Campaigns,"$-3,416.36",Google Suite,Reversed,PayPal,Bi-weekly company payroll run,VALID
TXN-100107,2021-04-18,Payroll,Full-Time Salaries,"$-12,986.25",Internal Payroll Processing,Reversed,Check,Contract negotiation retainer fee,VALID
TXN-100108,2021-04-19, Legal,Regulatory Compliance,$-896.01,IP Protection Bureau,Settled,Check,Contract negotiation retainer fee,VALID
TXN-100109,2021-04-20,Opex,Software Licenses,$-408.03,Slack Technologies,Reversed,,Q1 infrastructure compute charge,VALID
TXN-100110,2021-04-21,Opex,Office Supplies,$-855.59,Slack Technologies,settled,,New employee onboarding equipment,VALID
TXN-100111,2021-04-22,Legal,Retainer Fees,-1302.89,IP Protection Bureau,settled,,Contract negotiation retainer fee,VALID
TXN-100112,04/23/2021,Legal,IP Filing Fees,-2431.15,Kramer Legal Group,Processing,Check,Patent filing expense itemized,VALID
TXN-100113,24/04/2021, Payroll,Health Insurance Premiums,-12783.17,Internal Payroll Processing,Processing,PayPal,Quarterly marketing spend optimization,VALID
TXN-100114,2021-04-25,Revenue,Ad-hoc Consulting,134.88,Stark Industries Inc.,PENDING,ACH Transfer,Contract negotiation retainer fee,VALID
TXN-100115,2021-04-26,Opex,Cloud Infrastructure,-1092.31,Slack Technologies,Processing,Wire Transfer,Quarterly marketing spend optimization,VALID
TXN-100116,2021-04-27, Revenue,Enterprise License,"$2,801.37",Hooli Inc.,Failed,ACH Transfer,New employee onboarding equipment,VALID
TXN-100117,04/28/2021,Opex,Office Supplies,$-396.75,AWS Cloud Services,PENDING,Wire Transfer,Quarterly marketing spend optimization,VALID
TXN-100118,2021-04-29,Revenue ,Ad-hoc Consulting,$738.40,Vehement Capital Inc.,Cleared,Credit Card,Bi-weekly company payroll run,VALID
TXN-100119,2021-04-30,Revenue,SaaS Subscriptions,"$2,159.54",Wayne Enterprises Inc.,PENDING,Check,New employee onboarding equipment,VALID
TXN-100120,05/01/2021,Payroll,Contractor Fees,-11516.14,Internal Payroll Processing,Failed,Check,Bi-weekly company payroll run,VALID
TXN-100121,2021-05-02,Opex,Office Supplies,-1117.18,Zoom Video,settled,Credit Card,New employee onboarding equipment,VALID
TXN-100122,2021-05-03, Opex,Office Supplies,"$-1,841.13",Ironclad Legal,Failed,ACH Transfer,Q1 infrastructure compute charge,VALID
TXN-100123,2021-05-04,Payroll ,Bonuses & Incentives,-13212.15,Internal Payroll Processing,Failed,ACH Transfer,Annual team offsite travel reimbursement,VALID
TXN-100124,2021-05-05,Legal,Regulatory Compliance,"$-2,339.17",Preston & Gates LLP,settled,Credit Card,Contract negotiation retainer fee,VALID
TXN-100125,05/06/2021,Payroll ,Bonuses & Incentives,"$-11,776.66",Internal Payroll Processing,Settled,Wire Transfer,Q1 infrastructure compute charge,VALID
TXN-100126,2021-05-07,Opex,Travel & Entertainment,-4943.01,AWS Cloud Services,PENDING,PayPal,Quarterly marketing spend optimization,VALID
TXN-100127,2021-05-08,Revenue ,Ad-hoc Consulting,"$1,550.31",Initech Inc.,Cleared,PayPal,Contract negotiation retainer fee,VALID
TXN-100128,2021-05-09, Revenue,Enterprise License,3538.3,Umbrella Corp Inc.,Settled,,Annual team offsite travel reimbursement,VALID
TXN-100129,2021-05-10,Payroll,Health Insurance Premiums,"$-8,782.40",Internal Payroll Processing,settled,PayPal,Q1 infrastructure compute charge,VALID
TXN-100130,2021-05-11, Payroll,Contractor Fees,-9022.24,Internal Payroll Processing,PENDING,Check,Annual team offsite travel reimbursement,VALID
TXN-100131,2021-05-12,Opex,Cloud Infrastructure,$-76.38,AWS Cloud Services,Reversed,Check,,ERR_$$__CRITICAL!
TXN-100132,2021-05-13, Legal,Regulatory Compliance,"$-1,920.29",Preston & Gates LLP,Failed,ACH Transfer,Contract negotiation retainer fee,VALID
TXN-100133,2021-05-14,Legal,Retainer Fees,-21231.52,Kramer Legal Group,settled,PayPal,Contract negotiation retainer fee,VALID
TXN-100134,2021-05-15, Revenue,Ad-hoc Consulting,364.26,Acme Corp Inc.,PENDING,Wire Transfer,Contract negotiation retainer fee,VALID
TXN-100135,2021-05-16,Legal,Contract Drafting,-2915.38,Kramer Legal Group,Failed,,Quarterly marketing spend optimization,ERR_$$__CRITICAL!
TXN-100136,2021-05-17,Revenue,SaaS Subscriptions,"$1,469.30",Stark Industries Inc.,Settled,Credit Card,Annual team offsite travel reimbursement,VALID
txn_100137,2021-05-18,Payroll,Health Insurance Premiums,-11222.91,Internal Payroll Processing,Processing,ACH Transfer,Contract negotiation retainer fee,VALID
TXN-100138,NULL,Payroll,Bonuses & Incentives,"$-11,895.86",Internal Payroll Processing,Reversed,ACH Transfer,Quarterly marketing spend optimization,VALID
TXN-100139,05/20/2021,Payroll,Bonuses & Incentives,-8493.97,Internal Payroll Processing,settled,ACH Transfer,New employee onboarding equipment,VALID
TXN-100140,NULL,Legal,IP Filing Fees,-5669.31,IP Protection Bureau,Failed,Credit Card,Patent filing expense itemized,VALID
TXN-100141,2021-05-22,Opex ,Office Supplies,$-427.00,AWS Cloud Services,Processing,PayPal,Contract negotiation retainer fee,VALID
TXN-100142,05/23/2021,Revenue,SaaS Subscriptions,6613.74,Vehement Capital Inc.,Failed,,New employee onboarding equipment,VALID
TXN-100143,24/05/2021, Legal,Regulatory Compliance,-3835.03,IP Protection Bureau,Processing,PayPal,New employee onboarding equipment,VALID
TXN-100144,2021-05-25,Revenue,SaaS Subscriptions,"$2,392.61",Umbrella Corp Inc.,Failed,Credit Card,Q1 infrastructure compute charge,VALID
TXN-100145,2021-05-26,Payroll,Contractor Fees,-16215.62,Internal Payroll Processing,Cleared,,,VALID
TXN-100146,2021-05-27,Payroll ,Full-Time Salaries,-16176.98,Internal Payroll Processing,settled,PayPal,Bi-weekly company payroll run,VALID
TXN-100147,2021-05-28,Revenue,Ad-hoc Consulting,"$3,936.93",Vehement Capital Inc.,Processing,ACH Transfer,Patent filing expense itemized,VALID
TXN-100148,2021-05-29,Opex,Software Licenses,$-161.94,Slack Technologies,Processing,Credit Card,Contract negotiation retainer fee,VALID
TXN-100149,2021-05-30,Revenue ,Enterprise License,"$9,118.22",Initech Inc.,Cleared,Credit Card,Quarterly marketing spend optimization,VALID
TXN-100150,2021-05-31,Payroll,Contractor Fees,"$-9,028.39",Internal Payroll Processing,Settled,Check,Monthly recurring revenue billing,VALID
TXN-100151,2021-06-01,Opex ,Marketing Campaigns,-82.44,Ironclad Legal,settled,ACH Transfer,Monthly recurring revenue billing,VALID
TXN-100152,2021-06-02,Payroll,Health Insurance Premiums,-10301.11,Internal Payroll Processing,Settled,Check,Patent filing expense itemized,VALID
   ,2021-06-03, Payroll,Full-Time Salaries,"$-17,119.81",Internal Payroll Processing,settled,Credit Card,Contract negotiation retainer fee,VALID
TXN-100154,2021-06-04, Legal,IP Filing Fees,"$-4,331.15",Kramer Legal Group,Reversed,PayPal,New employee onboarding equipment,VALID
TXN-100155,05/06/2021,Payroll,Contractor Fees,-12027.43,Internal Payroll Processing,PENDING,PayPal,Annual team offsite travel reimbursement,VALID
TXN-100156,2021-06-06,Revenue ,Enterprise License,1384.12,Vehement Capital Inc.,Reversed,Check,Monthly recurring revenue billing,VALID
TXN-100157,2021-06-07,Opex,Cloud Infrastructure,-1574.19,Google Suite,Settled,PayPal,Bi-weekly company payroll run,VALID
TXN-100158,2021-06-08, Revenue,Professional Services,1058.02,Initech Inc.,settled,,Annual team offsite travel reimbursement,VALID
TXN-100159,06/09/2021,Opex,Travel & Entertainment,-1781.32,Google Suite,Reversed,Wire Transfer,Contract negotiation retainer fee,VALID
   ,2021-06-10,Payroll,Bonuses & Incentives,"$-10,903.38",Internal Payroll Processing,settled,Wire Transfer,Patent filing expense itemized,VALID
TXN-100161,11/06/2021,Legal,Regulatory Compliance,-3362.86,Kramer Legal Group,Processing,Wire Transfer,Quarterly marketing spend optimization,VALID
TXN-100162,NULL, Opex,Office Supplies,$-241.92,Ironclad Legal,Cleared,Credit Card,Annual team offsite travel reimbursement,VALID
TXN-100163,2021-06-13, Payroll,Health Insurance Premiums,-11517.19,Internal Payroll Processing,PENDING,Credit Card,Bi-weekly company payroll run,VALID
   ,06/14/2021,Legal ,Regulatory Compliance,$-826.13,IP Protection Bureau,Processing,,New employee onboarding equipment,VALID
TXN-100165,2021-06-15,Legal,Retainer Fees,"$-1,310.20",Preston & Gates LLP,PENDING,PayPal,Q1 infrastructure compute charge,VALID
TXN-100166,16/06/2021,Revenue,Professional Services,13030.95,Vehement Capital Inc.,Settled,ACH Transfer,Patent filing expense itemized,VALID
TXN-100167,2021-06-17,Revenue,Enterprise License,10591.67,Vehement Capital Inc.,Cleared,ACH Transfer,Patent filing expense itemized,VALID
TXN-100168,2021-06-18,Legal ,Regulatory Compliance,"$-4,078.63",IP Protection Bureau,Reversed,,New employee onboarding equipment,VALID
TXN-100169,06/19/2021, Legal,Regulatory Compliance,$-528.02,Preston & Gates LLP,Settled,Wire Transfer,,VALID
TXN-100170,06/20/2021,Legal,Regulatory Compliance,"$-2,269.83",IP Protection Bureau,Settled,,Bi-weekly company payroll run,VALID
TXN-100171,21/06/2021,Payroll,Contractor Fees,-15921.43,Internal Payroll Processing,PENDING,Wire Transfer,Q1 infrastructure compute charge,VALID
TXN-100172,2021-06-22,Opex,Marketing Campaigns,-1151.42,Ironclad Legal,settled,PayPal,Annual team offsite travel reimbursement,VALID
TXN-100173,06/23/2021,Opex,Marketing Campaigns,-435.32,Slack Technologies,Settled,PayPal,Q1 infrastructure compute charge,VALID
TXN-100174,24/06/2021,Opex,Travel & Entertainment,$-166.59,Ironclad Legal,Reversed,Check,Q1 infrastructure compute charge,VALID
TXN-100175,2021-06-25,Legal,Contract Drafting,$-428.36,Kramer Legal Group,Failed,ACH Transfer,Quarterly marketing spend optimization,VALID
TXN-100176,2021-06-26,Revenue,SaaS Subscriptions,2247.84,Initech Inc.,Cleared,Credit Card,Quarterly marketing spend optimization,VALID
TXN-100177,27/06/2021,Legal,Regulatory Compliance,-5947.51,Kramer Legal Group,PENDING,Wire Transfer,New employee onboarding equipment,VALID
TXN-100178,2021-06-28,Legal,Contract Drafting,"$-3,047.09",Kramer Legal Group,Reversed,Check,Quarterly marketing spend optimization,VALID
TXN-100179,29/06/2021,Opex,Software Licenses,-3291.7,Deel Payroll,Cleared,Credit Card,Monthly recurring revenue billing,VALID
TXN-100180,2021-06-30,Revenue,Ad-hoc Consulting,"$7,667.81",Wayne Enterprises Inc.,Cleared,PayPal,Monthly recurring revenue billing,ERR_$$__CRITICAL!
   ,07/01/2021,Opex,Travel & Entertainment,"$-1,560.97",Google Suite,Processing,Wire Transfer,Bi-weekly company payroll run,VALID
TXN-100182,2021-07-02,Opex ,Software Licenses,-151.84,Zoom Video,Processing,Credit Card,Quarterly marketing spend optimization,VALID
TXN-100183,2021-07-03,Opex,Travel & Entertainment,-284.44,AWS Cloud Services,Reversed,PayPal,Quarterly marketing spend optimization,VALID
TXN-100184,04/07/2021,Opex,Office Supplies,-3452.35,Ironclad Legal,Failed,Check,Monthly recurring revenue billing,VALID
TXN-100185,07/05/2021,Revenue,SaaS Subscriptions,"$4,762.47",Vehement Capital Inc.,Settled,Credit Card,Patent filing expense itemized,VALID
TXN-100186,07/06/2021,Revenue,Ad-hoc Consulting,$146.20,Acme Corp Inc.,Processing,PayPal,Quarterly marketing spend optimization,VALID
TXN-100187,2021-07-07,Payroll,Health Insurance Premiums,-12890.95,Internal Payroll Processing,Cleared,Wire Transfer,Contract negotiation retainer fee,VALID
TXN-100188,2021-07-08,Revenue ,Professional Services,634.98,Acme Corp Inc.,Cleared,Check,Contract negotiation retainer fee,VALID
TXN-100189,2021-07-09,Opex,Software Licenses,-1653.74,Ironclad Legal,Processing,Credit Card,Annual team offsite travel reimbursement,VALID
TXN-100190,2021-07-10, Payroll,Contractor Fees,"$-17,597.32",Internal Payroll Processing,Reversed,ACH Transfer,Monthly recurring revenue billing,VALID
TXN-100191,11/07/2021,Revenue,SaaS Subscriptions,5377.21,Stark Industries Inc.,Failed,ACH Transfer,Annual team offsite travel reimbursement,VALID
TXN-100192,2021-07-12, Legal,Retainer Fees,"$-2,903.97",Preston & Gates LLP,Reversed,Wire Transfer,Patent filing expense itemized,VALID
